City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,poum,-20.2333,164.0167,80.91,79,96,8.43,NC,1675807485
131,tambo,-14.8,-73.9167,40.3,89,93,8.5,PE,1675807486
132,jamestown,42.097,-79.2353,49.01,70,100,11.99,US,1675807487
133,kempsey,-31.0833,152.8333,71.94,80,97,0.51,AU,1675807487
134,thongwa,16.7619,96.5278,73.56,45,35,6.08,MM,1675807488
135,ivolginsk,51.7492,107.2837,-14.4,84,20,2.24,RU,1675807488
136,pevek,69.7008,170.3133,-22.23,95,100,2.8,RU,1675807470
137,provideniya,64.3833,-173.3,-2.09,71,100,8.95,RU,1675807489
138,carbondale,37.7273,-89.2168,50.0,93,100,5.75,US,1675807313
139,vao,-22.6667,167.4833,79.39,71,45,11.16,NC,1675807489
140,karratha,-20.7377,116.8463,85.15,62,35,2.42,AU,1675807489
141,ranfurly,-45.1333,170.1,61.11,41,13,10.87,NZ,1675807490
142,anju,39.6178,125.6647,22.05,73,2,4.59,KP,1675807490
143,poltavka,54.3663,71.7632,5.52,97,100,4.16,RU,1675807491
144,zwedru,6.0667,-8.1281,73.13,93,90,3.02,LR,1675807491
145,ribeira grande,38.5167,-28.7,55.78,66,20,13.0,PT,1675807492
146,almeirim,-1.5233,-52.5817,77.72,87,74,2.66,BR,1675807492
147,bantry,51.6833,-9.45,45.79,89,94,4.0,IE,1675807493
148,vicente guerrero,19.1194,-98.1708,71.8,20,0,11.39,MX,1675807213
149,arraial do cabo,-22.9661,-42.0278,76.96,100,75,9.22,BR,1675807493
150,port elizabeth,-33.918,25.5701,71.1,90,0,6.91,ZA,1675807217
151,esmeraldas,-19.7625,-44.3139,74.44,85,63,1.66,BR,1675807494
152,karoi,-16.8099,29.6925,62.35,94,3,4.14,ZW,1675807494
153,cabedelo,-6.9811,-34.8339,79.47,67,90,11.48,BR,1675807495
154,araouane,18.9048,-3.5265,72.91,14,56,11.9,ML,1675807495
155,leningradskiy,69.3833,178.4167,-25.37,96,100,5.59,RU,1675807496
156,severo-kurilsk,50.6789,156.125,21.18,62,57,10.74,RU,1675807439
157,gushikawa,26.3544,127.8686,65.43,94,100,0.0,JP,1675807496
158,santa teresa,10.2341,-66.6631,81.41,64,93,6.42,VE,1675807497
159,buchanan,5.8808,-10.0467,78.12,91,56,4.54,LR,1675807497
160,ahuimanu,21.4447,-157.8378,80.31,82,40,12.66,US,1675807498
161,ballina,-28.8667,153.5667,70.02,97,100,5.28,AU,1675807499
162,ilulissat,69.2167,-51.1,-9.38,77,100,9.22,GL,1675807499
163,east london,-33.0153,27.9116,71.28,87,100,10.31,ZA,1675807499
164,tabou,4.423,-7.3528,79.65,86,100,6.96,CI,1675807500
165,ambilobe,-13.2,49.05,72.95,96,100,1.86,MG,1675807500
166,codrington,-38.2667,141.9667,59.88,73,72,10.47,AU,1675807501
167,joshimath,30.5667,79.5667,33.94,46,1,9.82,IN,1675807501
168,narsaq,60.9167,-46.05,-1.98,69,0,6.89,GL,1675807502
169,mayskiy,47.6931,40.1025,18.81,82,100,19.73,RU,1675807349
170,tautira,-17.7333,-149.15,79.61,67,0,6.08,PF,1675807505
171,la paz,-16.5,-68.15,51.78,81,75,10.36,BO,1675807507
172,verkhnevilyuysk,63.4453,120.3167,-43.6,100,100,2.01,RU,1675807509
173,kondinskoye,59.6481,67.41,-12.42,100,97,3.76,RU,1675807509
174,soyo,-6.1349,12.3689,79.99,83,68,8.37,AO,1675807481
175,torbay,47.6666,-52.7314,24.39,82,75,21.99,CA,1675807511
176,berlevag,70.8578,29.0864,35.6,75,0,36.82,NO,1675807512
177,avera,33.194,-82.5271,69.31,50,97,4.07,US,1675807515
178,byron bay,-28.65,153.6167,69.94,67,96,6.15,AU,1675807429
179,tyrma,50.0833,132.1667,-29.07,99,20,2.06,RU,1675807517
180,tromso,69.6496,18.957,37.42,56,20,12.66,NO,1675807517
181,yeppoon,-23.1333,150.7333,74.98,73,69,16.53,AU,1675807518
182,atar,20.5169,-13.0499,63.86,21,93,11.12,MR,1675807518
183,mercedes,-34.6515,-59.4307,94.86,15,1,7.9,AR,1675807519
